"card_id","customer_id","card_number","expiry_date","is_active"
2091,2091,"7000-2051-8116-7597","2027-08-20",True
2092,2092,"7000-3733-1497-7247","2026-10-02",True
2093,2093,"7000-8542-3848-6411","2026-05-28",True
2094,2094,"7000-5958-8651-7008","2026-08-12",True
2095,2095,"7000-5400-3477-7484","2028-04-20",True
2096,2096,"7000-1846-7566-6488","2027-06-26",True
2097,2097,"7000-6458-6162-4738","2029-01-07",True
2098,2098,"7000-1501-9913-2737","2027-04-15",True
2099,2099,"7000-6198-7621-5628","2027-08-13",True
2100,2100,"7000-3745-9057-8268","2026-06-07",True
2101,2101,"7000-4199-7579-9064","2028-01-07",True
2102,2102,"7000-7527-3157-8374","2028-06-25",True
2103,2103,"7000-4267-7214-3035","2026-07-22",True
2104,2104,"7000-6434-3536-3397","2028-06-30",True
2105,2105,"7000-2862-8450-9859","2029-01-31",True
2106,2106,"7000-7710-6457-9427","2027-08-11",True
2107,2107,"7000-3594-7628-9030","2028-10-22",True
2108,2108,"7000-5629-6964-5855","2028-06-07",True
2109,2109,"7000-4497-9823-6611","2028-07-27",True
2110,2110,"7000-6743-3763-7568","2028-02-21",True
2111,2111,"7000-8524-6087-3255","2028-09-22",True
2112,2112,"7000-3535-6974-1623","2027-03-06",True
2113,2113,"7000-9180-4962-2993","2028-04-07",True
2114,2114,"7000-6269-1164-6634","2026-08-15",True
2115,2115,"7000-7518-6882-8086","2027-06-06",True
2116,2116,"7000-6367-3280-8219","2028-03-31",True
2117,2117,"7000-9783-2505-7407","2027-02-22",True
2118,2118,"7000-3479-5988-2344","2028-05-17",True
2119,2119,"7000-5806-6590-7975","2028-05-02",True
2120,2120,"7000-1532-7425-4514","2026-08-27",True
2121,2121,"7000-1924-5766-1561","2027-05-15",True
2122,2122,"7000-3412-4579-6406","2027-10-10",True
2123,2123,"7000-8555-5418-3463","2027-02-12",True
2124,2124,"7000-5630-2348-5620","2027-02-06",True
2125,2125,"7000-1808-9974-3920","2026-07-16",True
2126,2126,"7000-2260-7812-2978","2028-02-12",True
2127,2127,"7000-2390-4075-3873","2027-01-13",True
2128,2128,"7000-6682-8437-1962","2027-05-24",True
2129,2129,"7000-3945-9444-6204","2028-09-01",True
2130,2130,"7000-9184-1692-7653","2026-09-08",True
2131,2131,"7000-3355-1822-7936","2027-01-29",True
2132,2132,"7000-4248-9070-5798","2026-07-03",True
2133,2133,"7000-1960-8966-4275","2026-07-18",True
2134,2134,"7000-5462-2618-5426","2026-05-04",True
2135,2135,"7000-7685-4574-5863","2027-04-04",True
2136,2136,"7000-2340-3811-9797","2027-06-13",True
2137,2137,"7000-8960-8924-5062","2028-07-15",True
2138,2138,"7000-2962-5139-5321","2027-10-01",True
2139,2139,"7000-7967-9230-2589","2027-03-03",True
2140,2140,"7000-1301-9741-6462","2027-02-22",True
2141,2141,"7000-7202-7923-1398","2026-10-16",True
2142,2142,"7000-6269-8291-1634","2029-03-18",True
2143,2143,"7000-5541-4599-1230","2027-07-02",True
2144,2144,"7000-1048-4637-3478","2027-10-14",True
2145,2145,"7000-2011-5924-7899","2026-07-16",True
2146,2146,"7000-8968-2841-2970","2028-07-29",True
2147,2147,"7000-6247-4571-4980","2027-03-27",True
2148,2148,"7000-3345-5923-8301","2027-06-21",True
2149,2149,"7000-6184-2187-1258","2028-12-01",True
2150,2150,"7000-3884-2015-4521","2028-10-12",True
2151,2151,"7000-6860-5445-7963","2027-08-29",True
2152,2152,"7000-3018-4643-2554","2029-02-04",True
2153,2153,"7000-8360-2506-6589","2028-06-24",True
2154,2154,"7000-7304-2562-6276","2027-12-01",True
2155,2155,"7000-8812-4535-1791","2028-05-12",True
2156,2156,"7000-5267-6878-1035","2026-08-26",True
2157,2157,"7000-8054-7545-6705","2027-05-25",True
2158,2158,"7000-9487-8217-2111","2026-12-09",True
2159,2159,"7000-8042-3466-8829","2028-01-02",True
2160,2160,"7000-9487-5337-4425","2027-09-03",True
2161,2161,"7000-4348-1251-1440","2026-12-02",True
2162,2162,"7000-8968-6897-1932","2028-06-06",True
2163,2163,"7000-2085-2794-2438","2028-05-23",True
2164,2164,"7000-1266-3059-7996","2027-03-24",True
2165,2165,"7000-7462-5652-6413","2026-08-19",True
2166,2166,"7000-2462-2221-7333","2027-12-08",True
2167,2167,"7000-3732-5849-8660","2029-03-15",True
2168,2168,"7000-5450-6455-5885","2026-10-25",True
2169,2169,"7000-9665-9539-7860","2026-08-26",True
2170,2170,"7000-2396-4179-7456","2026-11-23",True
2171,2171,"7000-7880-6950-2161","2028-05-06",True
2172,2172,"7000-3463-6132-4758","2027-02-02",True
2173,2173,"7000-7256-3803-9404","2028-09-08",True
2174,2174,"7000-3358-3042-9976","2028-02-05",True
2175,2175,"7000-4392-4373-3363","2028-12-04",True
2176,2176,"7000-6268-2206-8937","2029-03-16",True
2177,2177,"7000-5589-7450-2891","2026-08-29",True
2178,2178,"7000-9991-6820-7430","2026-04-09",True
2179,2179,"7000-6084-8731-3087","2027-02-20",True
2180,2180,"7000-9642-7068-4281","2026-03-18",True
2181,2181,"7000-4362-6573-3691","2026-04-26",True
2182,2182,"7000-7123-8886-6309","2028-03-04",True
2183,2183,"7000-9186-1656-9158","2028-08-11",True
2184,2184,"7000-1670-5815-6413","2026-11-13",True
2185,2185,"7000-7644-9772-5065","2029-01-08",True
2186,2186,"7000-7168-6570-5621","2026-03-31",True
2187,2187,"7000-3871-8916-7762","2027-03-02",True
2188,2188,"7000-5620-9775-7105","2028-09-09",True
2189,2189,"7000-6362-2829-5500","2026-08-25",True
2190,2190,"7000-6079-4811-2854","2027-11-11",True
2191,2191,"7000-1687-4392-3536","2027-09-28",True
2192,2192,"7000-8614-7878-5866","2029-03-03",True
2193,2193,"7000-9219-1624-4127","2028-04-11",True
2194,2194,"7000-5394-4210-8533","2026-07-31",True
2195,2195,"7000-4015-2509-7658","2028-03-19",True
2196,2196,"7000-6743-9783-1083","2026-07-06",True
2197,2197,"7000-2268-8588-5605","2029-02-11",True
2198,2198,"7000-8154-2059-7826","2027-12-19",True
2199,2199,"7000-8885-6075-7437","2028-03-24",True
2200,2200,"7000-3546-8007-6250","2028-04-03",True
2201,2201,"7000-7613-4194-6100","2027-10-16",True
2202,2202,"7000-6736-1164-7862","2026-12-13",True
2203,2203,"7000-2746-9631-7152","2026-03-23",True
2204,2204,"7000-8013-3484-6129","2026-08-25",True
2205,2205,"7000-8968-8258-6245","2028-01-29",True
2206,2206,"7000-9874-5578-5734","2026-09-15",True
2207,2207,"7000-3038-8713-7154","2026-06-06",True
2208,2208,"7000-8519-7278-3885","2026-08-22",True
2209,2209,"7000-9028-5090-9193","2027-07-14",True
2210,2210,"7000-5417-2538-2358","2027-08-13",True
2211,2211,"7000-3681-3686-6476","2027-05-14",True
2212,2212,"7000-9345-5411-6525","2026-11-28",True
2213,2213,"7000-8893-5726-9156","2026-09-12",True
2214,2214,"7000-9599-4213-9632","2026-09-09",True
2215,2215,"7000-1806-7026-8458","2027-03-17",True
2216,2216,"7000-2709-1984-5211","2029-03-19",True
2217,2217,"7000-8008-9802-5062","2026-11-14",True
2218,2218,"7000-4865-9087-9601","2026-07-27",True
2219,2219,"7000-7328-2220-2145","2027-12-26",True
2220,2220,"7000-3451-6088-9246","2029-01-15",True
2221,2221,"7000-8345-9814-4185","2027-06-28",True
2222,2222,"7000-2522-6065-6543","2027-01-10",True
2223,2223,"7000-2234-2636-2447","2027-07-29",True
2224,2224,"7000-5797-1183-5823","2028-04-28",True
2225,2225,"7000-8804-2783-9915","2028-10-14",True
2226,2226,"7000-9775-2612-9193","2026-07-02",True
2227,2227,"7000-7643-1059-9347","2027-11-12",True
2228,2228,"7000-2852-9909-7828","2027-09-03",True
2229,2229,"7000-5040-3609-8008","2028-02-04",True
2230,2230,"7000-6911-6542-7534","2029-02-11",True
2231,2231,"7000-5028-7744-9615","2028-07-07",True
2232,2232,"7000-4735-9551-3292","2028-06-04",True
2233,2233,"7000-3205-2630-3972","2029-02-01",True
2234,2234,"7000-6675-1266-1845","2026-03-27",True
2235,2235,"7000-9162-8160-2824","2027-05-12",True
2236,2236,"7000-2521-4584-9271","2027-06-24",True
2237,2237,"7000-4325-1137-4453","2026-10-13",True
2238,2238,"7000-9123-1572-8953","2027-07-15",True
2239,2239,"7000-7660-6799-8648","2028-04-01",True
2240,2240,"7000-7391-7038-3270","2027-08-29",True
2241,2241,"7000-8279-8895-8761","2028-01-27",True
2242,2242,"7000-9489-9306-8883","2028-01-16",True
2243,2243,"7000-6200-1712-5704","2027-11-02",True
2244,2244,"7000-8657-1623-2472","2027-02-19",True
2245,2245,"7000-7602-6916-6905","2027-03-03",True
2246,2246,"7000-2850-5495-4333","2026-09-04",True
2247,2247,"7000-6781-6648-6439","2028-09-23",True
2248,2248,"7000-2573-1816-5385","2027-01-21",True
2249,2249,"7000-6590-7005-9770","2027-02-27",True
2250,2250,"7000-3612-9764-7676","2026-05-03",True
2251,2251,"7000-9608-5967-6819","2027-12-15",True
2252,2252,"7000-3082-8382-7697","2028-07-20",True
2253,2253,"7000-4431-8867-4323","2028-08-13",True
2254,2254,"7000-1134-6139-6443","2027-05-28",True
2255,2255,"7000-5459-8681-1826","2026-08-16",True
2256,2256,"7000-1929-8033-9413","2026-09-07",True
2257,2257,"7000-9325-8778-7949","2026-12-19",True
2258,2258,"7000-8980-4536-5447","2027-04-24",True
2259,2259,"7000-8613-1319-7997","2026-04-26",True
2260,2260,"7000-9770-8157-4594","2027-12-05",True
2261,2261,"7000-8829-9087-2346","2027-12-04",True
2262,2262,"7000-7631-5558-3016","2027-07-02",True
2263,2263,"7000-2726-6458-9553","2026-06-24",True
2264,2264,"7000-6228-6874-1249","2028-06-02",True
2265,2265,"7000-3886-7083-6547","2028-05-26",True
2266,2266,"7000-5653-7399-4019","2028-12-17",True
2267,2267,"7000-7201-6112-7815","2028-12-12",True
2268,2268,"7000-7008-6819-4227","2028-12-27",True
2269,2269,"7000-9265-6985-2003","2027-08-10",True
2270,2270,"7000-5631-6957-3619","2028-02-26",True
2271,2271,"7000-5947-4332-4959","2026-05-14",True
2272,2272,"7000-8526-3410-4140","2028-08-22",True
2273,2273,"7000-6404-2083-9812","2029-02-28",True
2274,2274,"7000-5397-3473-3957","2028-12-25",True
2275,2275,"7000-4589-1694-7337","2027-01-29",True
2276,2276,"7000-4680-6514-8657","2029-02-04",True
2277,2277,"7000-7835-2284-1512","2028-07-17",True
2278,2278,"7000-5328-6291-2197","2027-03-01",True
2279,2279,"7000-7500-7552-9877","2028-09-25",True
2280,2280,"7000-2695-3757-1731","2026-07-09",True
2281,2281,"7000-7715-4610-2028","2026-03-21",True
2282,2282,"7000-3769-5574-7627","2029-02-12",True
2283,2283,"7000-5247-2204-6318","2027-10-27",True
2284,2284,"7000-3182-9904-6557","2027-07-26",True
2285,2285,"7000-9141-4385-7686","2029-03-14",True
2286,2286,"7000-9845-2032-3770","2027-04-09",True
2287,2287,"7000-2281-6364-9271","2026-09-29",True
2288,2288,"7000-1846-7035-7372","2028-04-30",True
2289,2289,"7000-6258-3153-1403","2028-10-22",True
2290,2290,"7000-6211-5028-7664","2028-05-17",True
2291,2291,"7000-8999-3598-3384","2028-02-29",True
2292,2292,"7000-9471-5465-9352","2027-11-01",True
2293,2293,"7000-8353-7594-7432","2027-02-26",True
2294,2294,"7000-3519-9620-2796","2028-03-08",True
2295,2295,"7000-5509-3589-9082","2027-10-13",True
2296,2296,"7000-8128-7622-5231","2028-03-31",True
2297,2297,"7000-6428-6945-4308","2026-04-21",True
2298,2298,"7000-6640-1385-1344","2027-09-02",True
2299,2299,"7000-3681-5414-4678","2026-10-11",True
2300,2300,"7000-6735-1331-6411","2028-10-23",True
2301,2301,"7000-9966-8713-2848","2027-04-25",True
2302,2302,"7000-2929-4090-7687","2027-08-25",True
2303,2303,"7000-3370-9195-5807","2028-07-03",True
2304,2304,"7000-1401-3217-1671","2027-03-25",True
2305,2305,"7000-4863-7680-4358","2026-08-18",True
2306,2306,"7000-4051-7570-8375","2026-05-02",True
2307,2307,"7000-9867-1782-9489","2027-03-20",True
2308,2308,"7000-8197-4188-5754","2028-02-01",True
2309,2309,"7000-9748-8493-6414","2028-05-08",True
2310,2310,"7000-4187-2366-7989","2027-04-28",True
2311,2311,"7000-2959-6364-7291","2026-12-28",True
2312,2312,"7000-5287-4194-2429","2028-05-19",True
2313,2313,"7000-5173-8332-9843","2028-08-06",True
2314,2314,"7000-7615-7965-6595","2027-01-24",True
2315,2315,"7000-2168-9155-4348","2027-12-04",True
2316,2316,"7000-1546-1728-2817","2026-05-19",True
2317,2317,"7000-7377-1452-9791","2027-10-24",True
2318,2318,"7000-1982-1743-5725","2026-09-01",True
2319,2319,"7000-6044-1533-1258","2028-07-01",True
2320,2320,"7000-1111-3770-1074","2028-05-10",True
2321,2321,"7000-2617-6591-1008","2028-09-26",True
2322,2322,"7000-7788-8902-6077","2026-10-03",True
2323,2323,"7000-8587-9298-6092","2027-07-24",True
2324,2324,"7000-4496-7141-7729","2028-10-16",True
2325,2325,"7000-9273-3551-2710","2026-07-04",True
2326,2326,"7000-3870-4034-7389","2027-07-31",True
2327,2327,"7000-1154-9932-2038","2028-04-18",True
2328,2328,"7000-9204-3459-1249","2027-04-23",True
2329,2329,"7000-6213-9417-2678","2028-01-14",True
2330,2330,"7000-7921-6092-5149","2027-09-28",True
2331,2331,"7000-5453-1004-5409","2026-03-23",True
2332,2332,"7000-1978-8167-9644","2026-04-10",True
2333,2333,"7000-8122-5246-1451","2027-07-29",True
2334,2334,"7000-8329-3899-8114","2027-02-18",True
2335,2335,"7000-5467-8114-9046","2027-01-26",True
2336,2336,"7000-9105-8336-5197","2028-11-06",True
2337,2337,"7000-3794-2196-6735","2028-03-25",True
2338,2338,"7000-3874-8481-3816","2028-12-10",True
2339,2339,"7000-8406-3045-4352","2026-12-20",True
2340,2340,"7000-3456-5196-8594","2027-12-20",True
2341,2341,"7000-6582-7388-1441","2028-10-10",True
2342,2342,"7000-5060-8848-8486","2026-12-19",True
2343,2343,"7000-8034-1965-7465","2026-06-15",True
2344,2344,"7000-9122-5605-9079","2028-07-10",True
2345,2345,"7000-9502-3022-9936","2027-12-26",True
2346,2346,"7000-6131-6025-7108","2028-05-19",True
2347,2347,"7000-3967-3880-8327","2027-03-05",True
2348,2348,"7000-8874-7917-2386","2028-09-22",True
2349,2349,"7000-8696-9496-2430","2027-06-20",True
2350,2350,"7000-2043-5423-5528","2027-11-14",True
2351,2351,"7000-7802-7700-6654","2027-02-24",True
2352,2352,"7000-8786-2952-9571","2028-05-08",True
2353,2353,"7000-9233-8582-9586","2026-07-24",True
2354,2354,"7000-9927-2896-4819","2026-09-03",True
2355,2355,"7000-5154-6572-4050","2028-03-31",True
2356,2356,"7000-4738-4019-5025","2027-06-26",True
2357,2357,"7000-1483-8888-2774","2027-11-13",True
2358,2358,"7000-2850-2044-7337","2028-12-28",True
2359,2359,"7000-6965-4366-3785","2028-01-22",True
2360,2360,"7000-2676-5217-8246","2027-11-06",True
2361,2361,"7000-6507-7163-6554","2027-06-25",True
2362,2362,"7000-7870-3610-4168","2026-10-31",True
2363,2363,"7000-1680-2475-8979","2026-03-20",True
2364,2364,"7000-3807-3446-2187","2028-11-15",True
2365,2365,"7000-3225-6182-3312","2027-12-15",True
2366,2366,"7000-1714-9047-3891","2027-03-04",True
2367,2367,"7000-9125-6308-3199","2028-02-23",True
2368,2368,"7000-3126-5859-9244","2029-02-12",True
2369,2369,"7000-2294-9262-2135","2028-08-06",True
2370,2370,"7000-4572-1587-2871","2029-01-16",True
2371,2371,"7000-7212-4131-7723","2026-07-24",True
2372,2372,"7000-6942-9696-1209","2026-08-14",True
2373,2373,"7000-2950-3652-7341","2026-08-12",True
2374,2374,"7000-9838-5391-6503","2026-12-22",True
2375,2375,"7000-8776-8141-5981","2026-04-01",True
2376,2376,"7000-5315-6717-5729","2027-06-04",True
2377,2377,"7000-3273-1324-2266","2027-03-12",True
2378,2378,"7000-1783-1628-6114","2027-10-23",True
2379,2379,"7000-1197-6926-4914","2027-12-27",True
2380,2380,"7000-8559-3680-9128","2027-03-18",True
2381,2381,"7000-2597-9951-3196","2028-07-12",True
2382,2382,"7000-9481-4534-7447","2026-11-13",True
2383,2383,"7000-3595-4704-1266","2026-07-31",True
2384,2384,"7000-7226-7581-4622","2027-11-08",True
2385,2385,"7000-9040-7070-6584","2026-06-24",True
2386,2386,"7000-3524-8824-1945","2028-01-05",True
2387,2387,"7000-3751-9976-1060","2027-06-21",True
2388,2388,"7000-5225-7618-6254","2028-05-11",True
2389,2389,"7000-4382-1704-5913","2027-03-20",True
2390,2390,"7000-2275-7995-8238","2028-01-08",True
2391,2391,"7000-7055-9504-8758","2027-04-03",True
2392,2392,"7000-7994-6058-4132","2026-06-09",True
2393,2393,"7000-9749-8970-4838","2027-02-18",True
2394,2394,"7000-9737-6391-7571","2027-05-12",True
2395,2395,"7000-9118-1746-3868","2027-03-11",True
2396,2396,"7000-2877-8504-9763","2028-09-23",True
2397,2397,"7000-1849-8448-9503","2027-11-11",True
2398,2398,"7000-3307-4087-4072","2028-04-11",True
2399,2399,"7000-2861-4145-5984","2026-06-12",True
2400,2400,"7000-7124-3238-9562","2026-05-09",True
2401,2401,"7000-7699-4302-3137","2026-03-18",True
2402,2402,"7000-2925-7927-2072","2026-10-06",True
2403,2403,"7000-7200-4919-7539","2026-10-02",True
2404,2404,"7000-9170-6607-6850","2028-06-05",True
2405,2405,"7000-6112-1456-7320","2027-04-14",True
2406,2406,"7000-3459-7322-9927","2026-10-20",True
2407,2407,"7000-7683-3248-5754","2026-08-12",True
2408,2408,"7000-9098-1666-1906","2027-08-12",True
2409,2409,"7000-4362-2332-3558","2028-02-18",True
2410,2410,"7000-4299-8596-2011","2028-01-25",True
2411,2411,"7000-7640-4994-7537","2026-04-23",True
2412,2412,"7000-6459-4524-4893","2027-10-31",True
2413,2413,"7000-3797-4903-4021","2027-09-14",True
2414,2414,"7000-3493-8007-6831","2028-10-26",True
2415,2415,"7000-3733-5361-9359","2026-05-01",True
2416,2416,"7000-1849-9108-7723","2027-10-30",True
2417,2417,"7000-2350-3116-4598","2027-01-03",True
2418,2418,"7000-5934-1742-5471","2026-10-02",True
2419,2419,"7000-7983-1128-1328","2026-12-19",True
2420,2420,"7000-8902-4297-5170","2029-02-07",True
2421,2421,"7000-4164-1913-5631","2028-08-18",True
2422,2422,"7000-7393-7491-1777","2028-01-27",True
2423,2423,"7000-6628-5354-1986","2028-03-10",True
2424,2424,"7000-3624-7629-4812","2026-06-09",True
2425,2425,"7000-8829-7406-8966","2028-01-20",True
2426,2426,"7000-8428-2418-6994","2027-12-23",True
2427,2427,"7000-9402-3709-6590","2027-01-21",True
2428,2428,"7000-1201-8061-3602","2027-01-19",True
2429,2429,"7000-8926-8957-1201","2028-07-18",True
2430,2430,"7000-6463-8612-7804","2028-05-21",True
2431,2431,"7000-3097-9802-3850","2028-04-19",True
2432,2432,"7000-2723-9453-1153","2028-01-13",True
2433,2433,"7000-8870-8175-7239","2028-05-16",True
2434,2434,"7000-6560-1359-6926","2027-07-22",True
2435,2435,"7000-3487-1179-2411","2027-10-03",True
2436,2436,"7000-6459-8764-5032","2026-09-28",True
2437,2437,"7000-8263-8126-3567","2028-10-07",True
2438,2438,"7000-3679-1806-2749","2027-12-03",True
2439,2439,"7000-5982-5860-1561","2027-11-24",True
2440,2440,"7000-1612-6147-3648","2028-02-26",True
2441,2441,"7000-3240-4247-4844","2027-10-08",True
2442,2442,"7000-8455-6859-1680","2028-05-02",True
2443,2443,"7000-6597-8582-4933","2028-07-13",True
2444,2444,"7000-8686-2417-1542","2026-05-28",True
2445,2445,"7000-7518-2753-9705","2029-01-05",True
2446,2446,"7000-1787-5392-6138","2027-07-12",True
2447,2447,"7000-6076-5123-7198","2026-07-04",True
2448,2448,"7000-7921-4582-7139","2028-02-17",True
2449,2449,"7000-7137-4548-6908","2028-12-21",True
2450,2450,"7000-2754-8093-4405","2027-06-12",True
2451,2451,"7000-2294-4362-2996","2028-12-05",True
2452,2452,"7000-4409-8408-9301","2027-02-04",True
2453,2453,"7000-8095-2909-2184","2028-03-21",True
2454,2454,"7000-4668-2544-8755","2028-10-22",True
2455,2455,"7000-5256-4973-6624","2028-03-24",True
2456,2456,"7000-3824-1216-8215","2026-06-21",True
2457,2457,"7000-5369-9469-1445","2028-11-13",True
2458,2458,"7000-4284-8350-1570","2027-01-05",True
2459,2459,"7000-3319-2887-1231","2029-03-10",True
2460,2460,"7000-7932-3369-6459","2028-08-18",True
2461,2461,"7000-1038-8261-5211","2029-01-14",True
2462,2462,"7000-9447-4421-2366","2026-04-18",True
2463,2463,"7000-9450-6922-8506","2026-08-03",True
2464,2464,"7000-6279-7164-3302","2027-04-05",True
2465,2465,"7000-3469-9844-8389","2029-03-09",True
2466,2466,"7000-2739-6704-2946","2027-09-14",True
2467,2467,"7000-3660-6226-4145","2028-03-27",True
2468,2468,"7000-5715-7079-1555","2028-05-03",True
2469,2469,"7000-4811-1790-1787","2026-07-22",True
2470,2470,"7000-2862-9992-6093","2028-04-21",True
2471,2471,"7000-3914-6432-9569","2026-06-29",True
2472,2472,"7000-6677-2576-2538","2028-02-01",True
2473,2473,"7000-8252-8032-9984","2029-02-13",True
2474,2474,"7000-7855-4600-9513","2027-09-23",True
2475,2475,"7000-5166-1653-8668","2026-06-27",True
2476,2476,"7000-8382-9934-2984","2027-01-20",True
2477,2477,"7000-7764-3871-4448","2027-10-02",True
2478,2478,"7000-2376-2021-3968","2026-12-01",True
2479,2479,"7000-5319-3733-6569","2026-10-10",True
2480,2480,"7000-1343-4807-9937","2027-12-20",True
2481,2481,"7000-5321-2623-1013","2028-06-22",True
2482,2482,"7000-6602-5872-2773","2028-09-15",True
2483,2483,"7000-6240-9388-9673","2028-12-24",True
2484,2484,"7000-6861-7458-1981","2028-11-20",True
2485,2485,"7000-8792-2222-5109","2028-02-21",True
2486,2486,"7000-2559-1734-5130","2026-08-16",True
2487,2487,"7000-6167-4124-5487","2027-10-22",True
2488,2488,"7000-9426-2901-1334","2026-11-18",True
2489,2489,"7000-1005-4251-1374","2027-09-15",True
2490,2490,"7000-7863-5689-4959","2028-12-23",True
2491,2491,"7000-2095-5092-4974","2026-05-16",True
2492,2492,"7000-8149-2370-9653","2027-04-15",True
2493,2493,"7000-7681-5213-6506","2028-02-22",True
2494,2494,"7000-2214-6668-6188","2028-02-27",True
2495,2495,"7000-5013-3264-5452","2026-10-03",True
2496,2496,"7000-1677-5863-3613","2027-03-26",True
2497,2497,"7000-7239-6026-8515","2026-06-26",True
2498,2498,"7000-8132-8917-7680","2026-10-04",True
